id,onsenti,shisetsu,address,lat,lng
234,宮之城温泉,さがら温泉,薩摩郡さつま町湯田1366-39,31.946338,130.464155
235,十三奉行温泉,十三奉行（じゅさぶろ）温泉,出水市野田町下名4974,32.0604442,130.2568871
236,指宿温泉,砂むし会館「砂楽」,指宿市湯の浜５丁目２５−１８,31.229221,130.651583
237,種子島温泉,赤尾木の湯,西之表市西町78番地,30.7343795,130.992137
238,王丸温泉,宗像王丸 天然温泉 やまつばさ,宗像市王丸474,33.782356,130.546717
239,筑後川温泉,ホテル花景色 虹の湯,うきは市浮羽町古川1097-1,33.359662,130.80868
240,鳥栖温泉,家族風呂温泉 山ぼうし,鳥栖市河内町2867,33.395866,130.479907
241,佐賀大和温泉,ホテル アマンディ,佐賀市大和町久池井3667,33.321339,130.270938
242,杖立温泉,旅館 葉隠館,阿蘇郡小国町大字下城3336,33.183802,131.032256
243,三加和温泉,湯亭 上弦の月,玉名郡和水町大田黒310-1,33.0398483,130.6147146
244,山香温泉,風の郷,杵築市山香町倉成3003,33.458036,131.505929
245,川底温泉,旅館 螢川荘,玖珠郡九重町大字菅原1453,33.186856,131.146954
246,青島温泉,青島フィッシャーマンズ ビーチサイド ホステル&スパ「神話の湯」,宮崎市青島3-1-53,31.799413,131.469115
247,皇子原温泉,健康村,西諸県郡高原町蒲牟田5631-14,31.906509,130.964237
248,紫尾温泉,神の湯,薩摩郡さつま町紫尾2165,31.9744232,130.4299861
249,吹上温泉,新湯温泉旅館,日置市吹上町湯之浦1194,31.502067,130.366697
250,指宿温泉,山川砂むし温泉「砂湯里」,指宿市山川福元3339-3,31.1860379,130.5994825
251,泗水温泉,天然温泉 野の湯,菊池市泗水町富納161-1,32.933572,130.802404
